iter	MultiClass
0	1.06588158
1	1.03515517
2	1.007023264
3	0.980744219
4	0.9563562748
5	0.933523451
6	0.9121917647
7	0.8921748322
8	0.8737443
9	0.8561003574
10	0.8398934362
11	0.8240226007
12	0.8090877342
13	0.7959653446
14	0.7829117744
15	0.7705027574
16	0.7585192
17	0.7472061648
18	0.7362984174
19	0.7261908626
20	0.7162363761
21	0.706938485
22	0.698018473
23	0.6896896665
24	0.6816353775
25	0.6740225476
26	0.6665786828
27	0.6594955566
28	0.6525379817
29	0.6459651162
30	0.6395540132
31	0.633574804
32	0.6277397065
33	0.6221022218
34	0.6167602934
35	0.6116082363
36	0.6066821939
37	0.6016617372
38	0.5968461237
39	0.5923953658
40	0.5879728795
41	0.5837811218
42	0.5797596452
43	0.5758124081
44	0.5721038053
45	0.5686408742
46	0.5651787067
47	0.5617908737
48	0.5584727
49	0.5554115721
50	0.552526546
51	0.5495983085
52	0.5468443697
53	0.5441942038
54	0.5415386201
55	0.5391245937
56	0.5367090698
57	0.5345213738
58	0.5325060075
59	0.5303672436
60	0.5283518653
61	0.5263828748
62	0.5243724018
63	0.5224306792
64	0.5204768213
65	0.5186808654
66	0.517053257
67	0.5153964506
68	0.5136094816
69	0.5120439276
70	0.5105679182
71	0.5091698388
72	0.5076331895
73	0.5063069263
74	0.5050715521
75	0.5036971677
76	0.5024866856
77	0.5013437258
78	0.5001505446
79	0.4989937912
80	0.4978540181
81	0.4968252189
82	0.4956997145
83	0.4946622442
84	0.4936659324
85	0.4926937321
86	0.4917384083
87	0.4909239031
88	0.4900461528
89	0.4892018198
90	0.4883927034
91	0.4876761899
92	0.4869760965
93	0.4861989873
94	0.4855326841
95	0.4846998432
96	0.483920332
97	0.4832950957
98	0.4826429358
99	0.4819553398
100	0.4812833581
101	0.4806467285
102	0.4799521596
103	0.4793719154
104	0.478804129
105	0.4781309401
106	0.4775753496
107	0.4770621029
108	0.4765437875
109	0.4760129007
110	0.4754836066
111	0.4750099286
112	0.4743718633
113	0.4739114654
114	0.4734217569
115	0.4729433146
116	0.4724438587
117	0.4719426963
118	0.4714790358
119	0.4710225308
120	0.4705611936
121	0.4700893704
122	0.4697413987
123	0.4693617065
124	0.4690157675
125	0.4686294853
126	0.4682556948
127	0.4679196051
128	0.4675933311
129	0.467338528
130	0.4670208037
131	0.4666640891
132	0.4662873075
133	0.4659416843
134	0.4656301241
135	0.4652955237
136	0.4649473264
137	0.4646853432
138	0.4644183287
139	0.4640931593
140	0.4637499839
141	0.463538631
142	0.4632036923
143	0.4629237125
144	0.4626499874
145	0.4623825055
146	0.4621746611
147	0.4619239542
148	0.4617017041
149	0.4615014975
150	0.4612601382
151	0.4610246196
152	0.4607668583
153	0.4605414746
154	0.4603864665
155	0.4601590816
156	0.4600263896
157	0.459909985
158	0.4596959043
159	0.4594444705
160	0.4591987773
161	0.4590078796
162	0.4587888579
163	0.4586244083
164	0.458431659
165	0.4582299896
166	0.4579706166
167	0.457768638
168	0.4576277676
169	0.4574283745
170	0.4572409449
171	0.4570783634
172	0.4569081225
173	0.4566709499
174	0.456553893
175	0.4563919208
176	0.4561712323
177	0.4559444079
178	0.4557466266
179	0.4556118019
180	0.4554656681
181	0.4553455731
182	0.4551622402
183	0.4549928715
184	0.4548718458
185	0.4547284089
186	0.4546053113
187	0.4544944014
188	0.4543711481
189	0.4541597747
190	0.4540539975
191	0.4539025114
192	0.453748415
193	0.4536552268
194	0.4535299492
195	0.4533246722
196	0.4531876835
197	0.4530301972
198	0.4529321456
199	0.4528233581
200	0.4527189917
201	0.4525912698
202	0.4524952562
203	0.452403469
204	0.4522984916
205	0.4522269483
206	0.4520769241
207	0.4519696023
208	0.4518413997
209	0.4517667075
210	0.4516441027
211	0.4515440762
212	0.4514463677
213	0.4513266748
214	0.4512685746
215	0.4511304674
216	0.4509901102
217	0.4509084977
218	0.4507544506
219	0.4506139365
220	0.4505318628
221	0.4504264368
222	0.450320283
223	0.4502542751
224	0.4501085747
225	0.4500276598
226	0.4499727266
227	0.4498759678
228	0.4497954666
229	0.4497095157
230	0.4496328061
231	0.4495547483
232	0.4494080675
233	0.4492829004
234	0.449197521
235	0.4490902288
236	0.449002037
237	0.4489467574
238	0.448826083
239	0.4487369511
240	0.4486330473
241	0.4485585927
242	0.4484637684
243	0.4483409945
244	0.4482234552
245	0.4480989651
246	0.4480557889
247	0.4479875241
248	0.4478843251
249	0.44774057
250	0.4476442014
251	0.44757787
252	0.4475097627
253	0.4474294265
254	0.4473258137
255	0.4472595113
256	0.4471312596
257	0.4470621175
258	0.4469896766
259	0.4469393621
260	0.4468754634
261	0.44681649
262	0.4466817494
263	0.4466088083
264	0.4465525591
265	0.4464974417
266	0.4464123644
267	0.4463338037
268	0.4462468721
269	0.4461584624
270	0.4460971861
271	0.4459949375
272	0.445939761
273	0.4458451539
274	0.4458026391
275	0.4457539745
276	0.4457147953
277	0.445614343
278	0.4455509948
279	0.4454887198
280	0.4454321071
281	0.4453483771
282	0.4452781537
283	0.4451877873
284	0.4451021278
285	0.4450013234
286	0.4449529667
287	0.4448731431
288	0.4447912979
289	0.4447425385
290	0.4446369258
291	0.4445729466
292	0.4444866061
293	0.4444391719
294	0.4443953962
295	0.4443091322
296	0.4442172341
297	0.4441272184
298	0.4440559701
299	0.4439824442
300	0.4439162047
301	0.4438279737
302	0.4437402137
